"grouping_variable","number_of_groups","smallest_group_size","largest_group_size","overall_literacy_rate","within_variance","between_variance","total_variance","within_share","between_share"
"district",6,1319,195682,0.872068611895825,0.111323840595459,0.000241107446455571,0.111564948041914,0.997838860227273,0.00216113977272672
"subdistrict",7,2095,79381,0.872068611895825,0.110830864425243,0.000734083616671419,0.111564948041914,0.993420123169908,0.00657987683009208
"neighborhood",23,103,25657,0.872068611895825,0.110209637455888,0.0013553105860262,0.111564948041914,0.987851824342561,0.0121481756574387
